Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C13, C14, C16, C19, C21, C5, C6, C8, C9",C_0402,11,100nF,C307331
"C10, C12, C15, C17, C18, C3, C4, C7",C_0402,8,47pF,C1567
C2,C_0805,1,10uF,C15850
C20,C_1206,1,47uF,C96123
C78,C_0402,1,10pF,C32949
FB1,FB_0805,1,~,C1015
"R20, R31, R9",R_0402,3,0Ω,C17168
R4,R_0402,1,10kΩ,C25744
U1,Electrode_Array_64_Square,1,~,
"U10, U11, U12, U13, U14, U15, U16, U17, U18",UQFN-16_1.8x2.6mm_P0.4mm,9,TMUX1108RSVR,
"U19, U20, U21, U22, U8, U9",PinHeader_1x03_P2.54mm_Vertical,6,DS1023-1x3SF11,C7509516
"U2, U3, U4, U5, U6",DHVQFN-16-1EP_2.5x3.5mm_P0.5mm_EP1x2mm,5,SN74LV595ABQBR,C7083313
U7,SOIC-8_3.9x4.9mm_P1.27mm,1,LMP7721,
