Designator,Mid X,Mid Y,Rotation,Layer
BT1,222.3,-114.2,180.0,top
C1,179.0,-74.9,0.0,top
C10,181.5,-70.6,180.0,top
C11,152.0,-94.0,90.0,top
C12,154.5,-94.0,90.0,top
C13,150.0,-95.5,90.0,top
C14,150.7,-113.6,0.0,top
C15,146.0,-89.0,0.0,top
C16,154.12,-111.6,180.0,top
C17,182.1,-72.9,180.0,top
C18,181.6,-74.9,180.0,top
C19,137.5,-73.2,270.0,top
C2,178.5,-72.9,0.0,top
C20,221.0,-105.6,90.0,top
C21,218.55,-104.8,90.0,top
C22,183.1,-84.8,0.0,top
C23,161.5,-101.5,90.0,top
C24,169.5,-101.5,90.0,top
C25,150.3,-73.2,270.0,top
C26,183.75,-83.1,0.0,top
C27,187.5,-88.9,270.0,top
C28,187.8,-83.2,180.0,top
C29,187.55,-80.9,180.0,top
C3,184.0,-79.4,270.0,top
C30,186.4,-84.8,180.0,top
C31,149.1,-110.6,0.0,top
C32,149.1,-112.0,0.0,top
C36,193.2,-74.8,270.0,top
C37,204.285,-119.98,270.0,top
C38,205.085,-120.08,270.0,top
C39,194.85,-120.4,270.0,top
C4,164.3,-72.8,180.0,top
C40,193.85,-120.4,270.0,top
C41,177.7,-104.2,270.0,top
C42,219.8,-82.3,90.0,top
C43,190.3,-98.5,180.0,top
C44,186.6,-96.1,90.0,top
C45,189.2,-93.8,0.0,top
C46,221.25,-100.25,180.0,top
C5,160.7,-72.8,0.0,top
C51,212.0,-92.0,270.0,top
C52,196.0,-89.0,0.0,top
C53,209.0,-107.5,180.0,top
C54,196.5,-107.5,180.0,top
C55,193.2,-96.6,90.0,top
C56,192.7,-94.8,180.0,top
C57,213.0,-92.0,270.0,top
C58,192.2,-96.6,90.0,top
C59,192.7,-104.2,180.0,top
C6,161.2,-74.8,0.0,top
C60,192.7,-105.2,180.0,top
C61,206.6,-108.58,270.0,top
C62,214.4,-92.98,90.0,top
C63,207.6,-108.1,270.0,top
C64,212.6,-93.4,0.0,top
C65,192.2,-99.75,270.0,top
C66,192.2,-101.6,270.0,top
C67,150.8,-108.2,0.0,top
C68,145.1,-117.6,0.0,top
C69,145.1,-119.6,0.0,top
C7,163.8,-74.8,180.0,top
C70,186.61,-108.77,270.0,top
C71,184.8,-105.3,90.0,top
C72,186.61,-105.47,270.0,top
C73,188.54125,-103.87,180.0,top
C74,174.7,-101.7,270.0,top
C75,174.7,-99.8,90.0,top
C76,179.1,-105.0,270.0,top
C77,147.52,-87.0,0.0,top
C78,144.5,-98.5,270.0,top
C79,142.58,-87.0,180.0,top
C8,146.55,-77.3,90.0,top
C80,163.7,-70.5,180.0,top
C81,166.2,-79.3,270.0,top
C9,153.1,-113.6,180.0,top
D1,156.7,-77.3,90.0,top
D2,174.5,-77.4,90.0,top
D3,177.6,-86.9,90.0,top
FB1,177.3,-69.8,270.0,top
FB2,192.6,-107.6,270.0,top
FB3,159.8,-69.9,270.0,top
FB4,180.0,-84.5,0.0,top
J1,171.45,-107.27,0.0,top
J10,143.8,-68.8,0.0,top
J11,172.714,-90.424,90.0,top
J12,211.9,-109.46,0.0,top
J2,133.8,-81.5,90.0,top
J3,137.4,-100.8,0.0,top
J4,203.0,-74.0,0.0,top
J6,225.57,-94.67,90.0,top
J7,162.3,-90.3,90.0,top
J8,127.3,-91.3,0.0,top
J9,127.1778,-75.184,90.0,top
R1,156.7,-75.3,0.0,top
R10,137.5,-75.4,90.0,top
R100,190.7,-99.6,180.0,top
R102,167.44,-75.5,0.0,top
R103,199.4,-87.6,270.0,top
R104,221.4,-97.02,270.0,top
R105,173.3,-100.4,0.0,top
R106,190.8,-101.8,180.0,top
R107,190.7,-100.6,180.0,top
R108,154.1,-108.9,0.0,top
R109,185.21,-108.27,180.0,top
R11,139.7,-75.2,180.0,top
R110,181.846447,-103.446447,135.0,top
R111,190.54125,-103.87,0.0,top
R112,197.6,-86.77,270.0,top
R113,182.3,-101.4,180.0,top
R114,182.3,-100.0,180.0,top
R115,162.5,-99.5,180.0,top
R118,155.0,-79.9,270.0,top
R119,158.7,-76.8,270.0,top
R12,167.2,-79.3,270.0,top
R120,156.5,-98.5,90.0,top
R13,154.7,-71.1,270.0,top
R14,147.4,-83.8,90.0,top
R17,198.9,-83.5,180.0,top
R18,143.1,-117.6,0.0,top
R19,154.6,-113.7,270.0,top
R2,176.5,-76.9,270.0,top
R20,142.7,-100.9,0.0,top
R21,158.1,-97.5,90.0,top
R22,142.5,-98.5,270.0,top
R23,148.0,-107.0,90.0,top
R25,158.7,-79.8,270.0,top
R26,146.0,-94.0,90.0,top
R27,149.0,-95.5,90.0,top
R28,170.434,-98.806,90.0,top
R29,179.7,-87.52,270.0,top
R3,172.9,-80.3,270.0,top
R30,161.5,-103.4,270.0,top
R31,156.0,-99.0,180.0,top
R32,156.0,-102.0,180.0,top
R33,159.0,-103.5,0.0,top
R34,143.5,-97.5,270.0,top
R35,164.5,-99.5,180.0,top
R36,164.5,-102.0,180.0,top
R37,167.5,-103.0,180.0,top
R38,165.2,-106.6,0.0,top
R39,165.2,-105.1,0.0,top
R4,145.5,-98.5,270.0,top
R40,165.2,-103.6,0.0,top
R41,165.2,-109.6,0.0,top
R42,165.2,-108.1,0.0,top
R44,146.55,-79.3,90.0,top
R45,149.2,-73.2,90.0,top
R46,177.4,-89.9,270.0,top
R47,179.3,-85.8,180.0,top
R48,186.5,-88.9,270.0,top
R49,178.6,-90.7,270.0,top
R5,175.0,-80.4,270.0,top
R50,179.8,-90.7,270.0,top
R51,189.4,-86.84,270.0,top
R53,148.5,-114.8,90.0,top
R54,157.2,-80.3,270.0,top
R55,171.0,-100.5,180.0,top
R58,192.4,-74.8,90.0,top
R59,194.6,-74.2,0.0,top
R6,176.5,-79.9,270.0,top
R60,194.6,-71.0,0.0,top
R61,194.6,-70.2,0.0,top
R62,194.6,-73.4,0.0,top
R63,194.6,-72.6,0.0,top
R64,194.6,-71.8,0.0,top
R65,205.0,-83.7,90.0,top
R66,205.8,-83.7,90.0,top
R67,201.6,-83.7,90.0,top
R68,202.4,-83.7,90.0,top
R69,204.05,-83.8,90.0,top
R7,174.5,-75.4,180.0,top
R70,203.2,-83.7,90.0,top
R71,203.285,-119.98,90.0,top
R72,212.4,-118.0,270.0,top
R73,201.6,-108.2,90.0,top
R74,202.4,-108.2,90.0,top
R75,203.2,-108.2,90.0,top
R76,204.0,-108.2,90.0,top
R77,203.8,-115.3,270.0,top
R78,192.95,-118.4,0.0,top
R79,204.8,-108.2,270.0,top
R8,185.3,-75.6,0.0,top
R80,200.2,-108.2,90.0,top
R81,212.4,-101.0,0.0,top
R82,212.4,-100.2,0.0,top
R83,199.0,-108.2,270.0,top
R84,212.4,-99.4,0.0,top
R85,180.6,-104.9,270.0,top
R86,219.725,-77.4,270.0,top
R87,214.7,-77.1,270.0,top
R88,215.725,-77.1,90.0,top
R89,219.225,-79.0,0.0,top
R9,185.0,-79.4,270.0,top
R90,219.725,-80.3,90.0,top
R91,217.725,-77.2,270.0,top
R92,218.725,-77.3,270.0,top
R93,221.25,-99.25,180.0,top
R94,221.6,-92.22,90.0,top
R95,180.3,-97.7,90.0,top
R97,175.7,-99.8,90.0,top
R98,173.3,-101.2,0.0,top
R99,175.7,-101.7,270.0,top
S1,216.125,-81.2,0.0,top
TP1,168.4,-70.7,0.0,top
TP10,171.1452,-117.1702,0.0,top
TP11,226.4918,-103.5,0.0,top
TP12,133.2738,-84.8868,0.0,top
TP13,129.0828,-82.2198,180.0,top
TP14,125.476,-85.0392,180.0,top
TP2,186.3,-71.1,0.0,top
TP3,225.425,-79.5782,0.0,top
TP4,178.8,-94.3,0.0,top
TP5,138.1,-111.8,0.0,top
TP6,138.2,-107.2,0.0,top
TP7,192.7,-86.5,0.0,top
TP8,155.829,-87.0712,0.0,top
TP9,126.6444,-101.3206,0.0,top
U1,180.475,-77.9,0.0,top
U10,189.21,-106.07,180.0,top
U11,149.405,-100.475,0.0,top
U12,144.3625,-91.45,180.0,top
U14,178.3375,-100.75,0.0,top
U15,202.5,-98.325,270.0,top
U16,159.05,-100.6375,90.0,top
U17,167.35,-100.5375,90.0,top
U19,144.6,-72.9,270.0,top
U2,165.1,-116.84,0.0,top
U24,208.125,-116.495,90.0,top
U25,197.725,-116.495,90.0,top
U27,143.7,-113.1,270.0,top
U28,162.675,-77.8,0.0,top
U3,180.34,-116.84,0.0,top
U4,183.75,-87.55,0.0,top
U5,141.0,-80.6,270.0,top
U9,151.86,-116.15,180.0,top
X1,189.2,-96.0,0.0,top
